expediente;fecha_remision;;;
00663-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00670-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00672-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00674-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00676-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00681-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00690-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00702-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00711-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00713-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00715-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00725-2016-0-3301-JR-FT-01_58;S;44:52.1;;
00728-2016-0-3301-JR-FT-01_58;S;24:16.9;;
00735-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00751-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00752-2016-0-3301-JR-FT-01_58;S;05:34.9;;
01179-2016-0-3301-JR-FT-01_58;2019-01-22;;;
01200-2016-0-3301-JR-FT-01_58;2019-01-21;;;
01202-2016-0-3301-JR-FT-01_58;2019-01-21;;;
01207-2016-0-3301-JR-FT-01_58;2019-01-21;;;
01209-2016-0-3301-JR-FT-01_58;2019-01-21;;;
01233-2016-0-3301-JR-FT-01_58;2019-01-21;;;
01238-2016-0-3301-JR-FT-01_58;S;32:37.9;;
00037-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00041-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00084-2017-0-3301-JR-FT-01_59;S;36:03.9;;
00118-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00149-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00187-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00193-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00194-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00237-2017-0-3301-JR-FC-01_59;2019-01-09;;;
00324-2017-0-3301-JR-FT-01_59;2019-01-04;;;
00386-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00520-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00532-2017-0-3301-JR-FT-01_59;2019-01-31;;;
00536-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00599-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00602-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00603-2017-0-3301-JR-FT-01_59;2019-01-31;;;
00660-2017-0-3301-JR-FT-01_59;2019-01-10;;;
00666-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00667-2017-0-3301-JR-FT-01_59;2019-01-31;;;
00677-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00882-2017-0-3301-JR-FT-01_59;2019-01-18;;;
01879-2017-0-3301-JR-FT-01_57;2019-01-03;;;
00059-2018-0-3301-JR-FT-01_59;2019-01-09;;;
00141-2018-0-3301-JR-CI-01_61;2019-01-08;;;
