tblcomisaria_id;oficio;fdenuncia;fformalizacion;expediente;calificacion;hora;faudiencia;remitido;oficioremitido;fremision;ministerio;tblinstancia_id;asistencialegal;psicologia;tblmodulo_id;medida_file;institucion;tbldenuncia_id;fmedida
6;76-2019;2019-02-12;2019-02-14;810-2019;No ha lugar;09:10;2019-02-15;;;;;38;0;0;30;/img/denuncia/file_medida__1554504464.pdf;1;1;2019-02-18
7;161-2019;2019-01-31;2019-02-04;631-2019;Ha lugar;09:15;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida__1554505918.pdf;1;2;2019-02-06
9;164-2019;2019-02-04;2019-02-04;632-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554506857.pdf;1;1;2019-02-05
9;162-.2019;2019-02-03;2019-02-04;633-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554508056.pdf;1;1;2019-02-05
10;196-2019;2019-02-01;2019-02-04;634-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;2;
7;O17-2019;2019-01-04;2019-01-07;91-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554556756.pdf;1;2;2019-01-08
7;31-2019;2019-01-06;2019-01-07;92-2019;Ha lugar;03:15;2019-01-09;;;;;37;0;0;30;/img/denuncia/file_medida__1554557395.pdf;1;1;2019-01-09
7;23-2019;2019-01-05;2019-01-07;93-2019;Ha lugar;03:00;2019-01-09;;;;;37;0;0;30;/img/denuncia/file_medida__1554557863.pdf;1;1;2019-01-09
9;22-2019;2019-01-04;2019-01-07;94-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554558215.pdf;1;3;2019-01-08
9;21-2019;2019-01-05;2019-01-07;95-2019;Ha lugar;12:30;2019-01-09;;;;1;37;0;0;30;/img/denuncia/file_medida__1554558529.pdf;1;2;2019-01-09
10;025-2018;2019-01-04;2019-01-07;96-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
9;148-2019;2019-02-02;2019-03-04;635-2019;Ha lugar;08:45;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida__1554560308.pdf;1;2;2019-02-06
6;060-2019;2019-01-29;2019-02-04;636-2019;Ha lugar;09:45;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida__1554561297.pdf;1;1;2019-02-06
6;062-2019;2019-01-31;2019-02-04;638-2019;Ha lugar;04:45;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida__1554562288.pdf;1;1;2019-02-06
6;022-2019;2019-02-02;2019-02-04;639-2019;Ha lugar;10:00;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida__1554565080.pdf;1;2;2019-02-06
6;063-2019;2019-01-31;2019-02-04;640-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554566193.pdf;1;3;2019-02-05
6;61-2019;2019-01-29;2019-02-04;641-2019;Ha lugar;08:30;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida__1554567088.pdf;1;2;2019-02-06
8;242-2019;2019-01-30;2019-02-04;;;;;;;;0;;0;0;30;;1;1;
