id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;ministerio;c_instancia;asistencialegal;psicologia;id_modulo;medida_file
1; 14-2019;2019-01-04;2019-01-10;155-2019;;00:00;2019-01-11;;;;0;37;0;0;30;file_rsas7qm71547563717.pdf
1; 13-2019;2019-01-07;2019-01-10;157-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_6jvjxfca1547563624.pdf
1; 15-2019;2019-01-07;2019-01-10;158-2019;Ha lugar;00:00;2019-01-10;;;;0;37;0;0;30;file_8q606vvf1547563772.pdf
1; 16-2019;2019-01-09;2019-01-10;159-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_vpo0799d1547564162.pdf
3; 4-2018;2018-12-30;2019-01-03;16-2019;Ha lugar;15:30;2019-01-03;;;;0;28;0;0;30;file_8gs681g01546639655.pdf
6; 18-2019;2019-01-07;2019-01-10;160-2019;No ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_mzwk4qt81547564313.pdf
9; 39-2019;2019-01-08;2019-01-10;161-2019;Ha lugar;00:00;2019-01-11;;;;0;37;0;0;30;file_mck2jfin1547565004.pdf
9; 38-2019;2019-01-07;2019-01-10;162-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_c37r452h1547564864.pdf
10; 50-2019;2019-01-08;2019-01-10;163-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_l40eoah21547565647.pdf
10; 45-2019;2019-01-07;2019-01-10;164-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_sl8cck4v1547565135.pdf
12; 50-2019;2019-01-06;2019-01-10;165-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_h3kkyo1b1547565454.pdf
12; 49-2019;2019-01-06;2019-01-10;166-2019;Ha lugar;00:00;2019-01-11;;;;0;37;0;0;30;file_q23trmsp1547565307.pdf
12; 51-2019;2019-01-07;2019-01-10;167-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_kur13oe21547565754.pdf
