id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;c_instancia;id_modulo
140;2090-2018;2018-10-12;2018-10-15;23876-2018-0-0906-JR-FC-15;Ha lugar;15:22;2018-10-31;;;;54;20
140;4658-2018;2018-10-12;2018-10-15;23904-2018-0-0906-JR-FC-17;Ha lugar;16:38;2018-10-15;;;;56;20
140;2082-2018;2018-10-12;2018-10-15;23905-2018-0-0906-JR-FC-09;Ha lugar;16:39;2018-10-15;;;;48;20
140;-;2018-10-12;2018-10-15;23906-2018-0-0906-JR-FC-09;Ha lugar;16:54;2018-10-15;;;;48;20
140;2083-2018;2018-10-12;2018-10-15;23907-2018-0-0906-JR-FC-09;Ha lugar;12:10;2018-10-23;;;;48;20
140;-;2018-10-12;2018-10-15;23908-2018-0-0906-JR-FC-09;Ha lugar;16:59;2018-10-15;;;;48;20
140;2084-2018;2018-10-12;2018-10-15;23909-2018-0-0906-JR-FC-09;Ha lugar;15:14;2018-10-18;;;;48;20
140;4072-2018;2018-10-13;2018-10-16;23916-2018-0-0906-JR-FC-14;Ha lugar;10:40;2018-10-17;;;;53;20
140;-;2018-10-13;2018-10-16;23917-2018-0-0906-JR-FC-14;Ha lugar;13:23;2018-10-22;;;;53;20
140;4084-2018;2018-10-13;2018-10-16;23918-2018-0-0906-JR-FC-16;Ha lugar;16:24;2018-10-19;;;;55;20
140;646-2018;2018-10-13;2018-10-16;23922-2018-0-0906-JR-FC-13;Ha lugar;08:47;2018-11-08;;;;52;20
140;4085-2018;2018-10-13;2018-10-16;23923-2018-0-0906-JR-FC-17;Ha lugar;09:23;2018-10-16;;;;56;20
140;4075-2018;2018-10-13;2018-10-16;23925-2018-0-0906-JR-FC-15;Ha lugar;09:10;2018-10-22;;;;54;20
140;-;2018-10-13;2018-10-16;23926-2018-0-0906-JR-FC-10;Ha lugar;15:10;2018-10-21;;;;49;20
140;4080-2018;2018-10-13;2018-10-16;23927-2018-0-0906-JR-FC-15;Ha lugar;09:22;2018-10-22;;;;54;20
140;2066-2018;2018-10-13;2018-10-16;23928-2018-0-0906-JR-FC-17;Ha lugar;12:15;2018-10-17;;;;56;20
140;-;2018-10-13;2018-10-16;23931-2018-0-0906-JR-FC-10;Ha lugar;10:48;2018-11-14;;;;49;20
140;4058-2018;2018-10-13;2018-10-16;23935-2018-0-0906-JR-FC-16;Ha lugar;11:34;2018-10-22;;;;55;20
140;112-2018;2018-10-13;2018-10-16;23937-2018-0-0906-JR-FC-13;Ha lugar;10:01;2018-10-16;;;;52;20
140;4045-2018;2018-10-13;2018-10-16;23938-2018-0-0906-JR-FC-14;Ha lugar;11:59;2018-10-30;;;;53;20
140;78-2018;2018-10-13;2018-10-16;23939-2018-0-0906-JR-FC-17;Ha lugar;15:22;2018-10-18;;;;56;20
140;186-2018;2018-10-13;2018-10-16;23941-2018-0-0906-JR-FC-15;Ha lugar;19:35;2018-10-30;;;;54;20
140;-;2018-10-13;2018-10-16;23942-2018-0-0906-JR-FC-16;Ha lugar;15:37;2018-11-11;;;;55;20
140;2089-2018;2018-10-13;2018-10-16;23943-2018-0-0906-JR-FC-10;Ha lugar;11:38;2018-10-17;;;;49;20
140;4065-2018;2018-10-13;2018-10-16;23944-2018-0-0906-JR-FC-14;Ha lugar;12:20;2018-10-18;;;;53;20
140;4067-2018;2018-10-13;2018-10-16;23945-2018-0-0906-JR-FC-13;Ha lugar;20:33;2018-10-25;;;;52;20
140;2065-2018;2018-10-13;2018-10-16;23946-2018-0-0906-JR-FC-17;Ha lugar;09:46;2018-10-22;;;2018-12-13;56;20
140;2869-2018;2018-10-13;2018-10-16;23948-2018-0-0906-JR-FC-14;Ha lugar;14:36;2018-10-22;;;;53;20
140;4068-2018;2018-10-13;2018-10-16;23949-2018-0-0906-JR-FC-16;Ha lugar;09:21;2018-10-17;;;;55;20
140;3367-2018;2018-10-13;2018-10-16;23950-2018-0-0906-JR-FC-10;Ha lugar;12:31;2018-11-08;;;;49;20
140;2064-2018;2018-10-13;2018-10-16;23951-2018-0-0906-JR-FC-15;Ha lugar;17:15;2018-11-01;;;2018-12-11;54;20
140;2857-2018;2018-10-13;2018-10-16;23953-2018-0-0906-JR-FC-13;Ha lugar;14:28;2018-10-25;;;;52;20
140;4086-2018;2018-10-13;2018-10-16;23954-2018-0-0906-JR-FC-16;Ha lugar;09:17;2018-10-22;;;;55;20
140;2855-2018;2018-10-13;2018-10-16;23955-2018-0-0906-JR-FC-14;Ha lugar;10:13;2018-10-18;;;;53;20
140;2856-2018;2018-10-13;2018-10-16;23956-2018-0-0906-JR-FC-10;Ha lugar;12:44;2018-11-08;;;;49;20
140;2846-2018;2018-10-13;2018-10-16;23958-2018-0-0906-JR-FC-17;Ha lugar;12:52;2018-10-17;;;;56;20
140;4076-2018;2018-10-13;2018-10-16;23960-2018-0-0906-JR-FC-13;Ha lugar;19:21;2018-10-25;;;;52;20
140;3366-2018;2018-10-13;2018-10-16;23962-2018-0-0906-JR-FC-15;Ha lugar;14:43;2018-10-31;;;;54;20
140;4069-2018;2018-10-13;2018-10-16;23963-2018-0-0906-JR-FC-09;Ha lugar;08:26;2018-10-17;;;;48;20
140;3364-2018;2018-10-13;2018-10-16;23964-2018-0-0906-JR-FC-17;Ha lugar;14:33;2018-10-23;;;2018-12-06;56;20
